DATE,DAILY_NET_SALES_UOM_QTY
9/19/16,242
1/17/16,275
9/20/16,191
1/18/16,241
9/7/2012,121
9/21/16,185
1/19/16,207
9/8/2012,168
9/22/16,177
1/20/16,168
9/9/2012,218
9/23/16,163
1/21/16,169
9/10/2012,163
9/24/16,179
9/11/2012,122
1/22/16,173
9/12/2012,124
9/25/16,269
9/13/12,151
9/1/2010,222
1/23/16,254
9/26/16,180
9/14/12,146
9/2/2010,207
9/27/16,178
9/15/12,181
1/24/16,250
9/3/2010,292
9/16/12,230
9/4/2010,221
9/28/16,161
1/25/16,224
9/17/12,160
9/5/2010,214
9/6/2010,
9/18/12,161
1/26/16,211
9/7/2010,344
9/19/12,150
9/8/2010,304
9/20/12,134
9/29/16,208
1/27/16,181
1/5/2012,140
9/13/14,156
9/9/2010,313
9/21/12,141
1/6/2012,147
9/30/16,204
9/22/12,175
9/10/2010,271
1/28/16,202
1/7/2012,182
9/11/2010,291
9/23/12,214
10/1/2016,213
9/14/14,234
1/8/2012,209
1/29/16,190
9/12/2010,380
9/24/12,134
1/9/2012,221
10/2/2016,288
9/13/10,310
9/15/14,184
9/25/12,119
1/10/2012,148
1/30/16,212
9/14/10,240
9/26/12,123
5/10/2013,233
10/3/2016,260
1/11/2012,144
9/16/14,190
9/15/10,232
9/27/12,120
1/31/16,303
9/16/10,272
1/12/2012,144
10/4/2016,217
9/28/12,108
5/11/2013,238
9/17/14,146
9/17/10,267
2/1/2016,233
9/29/12,157
10/5/2016,224
5/12/2013,177
9/18/10,287
1/13/12,132
9/30/12,173
9/18/14,139
5/13/13,186
9/19/10,287
1/14/12,153
10/6/2016,201
2/2/2016,167
10/1/2012,141
9/20/10,229
5/14/13,182
9/19/14,132
1/15/12,188
10/2/2012,136
9/21/10,115
10/7/2016,223
5/15/13,153
1/16/12,166
2/3/2016,168
10/3/2012,129
9/22/10,122
9/20/14,159
5/16/13,154
1/17/12,160
10/8/2016,220
5/5/2011,101
10/4/2012,114
9/23/10,101
1/18/12,144
5/17/13,174
2/4/2016,209
9/24/10,109
10/5/2012,137
9/21/14,206
10/9/2016,299
1/19/12,132
5/18/13,167
5/6/2011,115
9/25/10,110
10/6/2012,188
2/5/2016,221
1/20/12,134
5/19/13,206
9/22/14,175
5/7/2011,149
9/26/10,153
10/10/2016,191
10/7/2012,206
5/17/15,227
1/21/12,173
5/20/13,193
5/8/2011,154
9/27/10,140
10/8/2012,181
2/6/2016,238
1/10/2014,177
1/22/12,171
9/23/14,147
10/11/2016,212
5/9/2011,148
5/21/13,146
9/28/10,116
5/18/15,217
10/9/2012,148
1/23/12,114
9/29/10,129
5/10/2011,102
5/22/13,148
2/7/2016,219
5/19/15,176
9/24/14,125
10/10/2012,155
1/11/2014,208
1/24/12,125
10/12/2016,201
9/30/10,126
5/11/2011,107
5/23/13,136
10/11/2012,135
5/20/15,174
1/25/12,126
10/1/2010,156
5/12/2011,143
5/24/13,148
2/8/2016,210
10/13/16,205
9/25/14,160
1/12/2014,234
10/12/2012,126
1/26/12,117
10/2/2010,159
5/13/11,127
5/25/13,146
5/21/15,161
10/14/16,211
10/13/12,188
1/27/12,125
2/9/2016,189
10/3/2010,183
1/13/14,200
5/14/11,133
9/26/14,125
5/26/13,168
5/22/15,167
5/27/13,
10/14/12,253
10/4/2010,166
1/28/12,130
5/23/15,188
10/15/16,201
5/15/11,189
2/10/2016,193
5/28/13,218
1/29/12,170
10/15/12,180
10/5/2010,112
1/14/14,145
9/27/14,141
5/16/11,149
5/24/15,177
5/29/13,151
1/30/12,118
10/6/2010,92
10/16/12,166
10/16/16,304
5/25/15,
2/11/2016,161
5/17/11,118
1/15/14,137
9/28/14,222
1/31/12,82
10/7/2010,98
5/30/13,161
10/17/12,123
5/26/15,243
10/17/16,259
5/18/11,128
10/8/2010,122
