DATE,TEMP,PRICE,SALES,COUPON,HOLIDAY
9/19/16,75.45,5.99,242,0,0
1/17/16,57.9,5.99,275,0,0
9/20/16,69.1,5.99,191,0,0
1/18/16,57,5.99,241,0,1
9/7/2012,60.45,5.99,121,0,0
9/21/16,63.5,5.99,185,0,0
1/19/16,57,5.99,207,0,0
9/8/2012,59.55,5.99,168,0,0
9/22/16,61,5.99,177,0,0
1/20/16,54,5.99,168,0,0
9/9/2012,61.55,5.99,218,0,0
9/23/16,63.5,5.99,163,0,0
1/21/16,62.1,5.99,169,0,0
9/10/2012,63.5,5.99,163,0,0
9/24/16,71.55,5.99,179,0,0
9/11/2012,61,5.99,122,0,0
1/22/16,59,5.99,173,0,0
9/12/2012,61,5.99,124,0,0
9/25/16,76.45,5.99,269,0,0
9/13/12,61,5.99,151,0,0
9/1/2010,75.2,5.79,222,0,0
1/23/16,54,5.99,254,0,0
9/26/16,78.55,5.99,180,0,0
9/14/12,59,5.99,146,0,0
9/2/2010,74.9,5.79,207,0,0
9/27/16,73.45,5.99,178,0,0
9/15/12,60.45,5.99,181,0,0
1/24/16,48,5.99,250,0,0
9/3/2010,66,5.79,292,0,0
9/16/12,57.9,5.99,230,0,0
9/4/2010,62.1,5.79,221,0,0
9/28/16,64.9,5.99,161,0,0
1/25/16,53.1,5.99,224,0,0
9/17/12,57.1,5.99,160,0,0
9/5/2010,64,5.79,214,0,0
9/6/2010,,,,,1
9/18/12,57.2,5.99,161,0,0
1/26/16,52,5.99,211,0,0
9/7/2010,64,5.79,344,0,0
9/19/12,57,5.99,150,0,0
9/8/2010,63,5.79,304,0,0
9/20/12,58.45,5.99,134,0,0
9/29/16,59.55,5.99,208,0,0
1/27/16,52,5.99,181,0,0
1/5/2012,49.45,5.99,140,0,0
9/13/14,64.9,5.99,156,0,0
9/9/2010,60.45,5.79,313,0,0
9/21/12,60.55,5.99,141,0,0
1/6/2012,45.7,5.99,147,0,0
9/30/16,59.55,5.99,204,0,0
9/22/12,64,5.99,175,0,0
9/10/2010,68,5.79,271,0,0
1/28/16,59,5.99,202,0,0
1/7/2012,57,5.99,182,0,0
9/11/2010,68,5.79,291,0,0
9/23/12,61.55,5.99,214,0,0
10/1/2016,59,5.99,213,0,0
9/14/14,64,5.99,234,0,0
1/8/2012,54.5,5.99,209,0,0
1/29/16,59,5.99,190,0,0
9/12/2010,62.1,5.79,380,0,0
9/24/12,61.55,5.99,134,0,0
1/9/2012,48.45,5.99,221,0,0
10/2/2016,60.1,5.99,288,0,0
9/13/10,57.55,5.79,310,0,0
9/15/14,65.45,5.99,184,0,0
9/25/12,57.9,5.99,119,0,0
1/10/2012,47.9,5.99,148,0,0
1/30/16,54,5.99,212,0,0
9/14/10,59,5.79,240,0,0
9/26/12,55.9,5.99,123,0,0
5/10/2013,57,5.99,233,0,0
10/3/2016,63,5.99,260,0,0
1/11/2012,48,5.99,144,0,0
9/16/14,64.9,5.99,190,0,0
9/15/10,59.55,5.79,232,0,0
9/27/12,58.45,5.99,120,0,0
1/31/16,50,5.99,303,0,0
9/16/10,66,5.79,272,0,0
1/12/2012,48,5.99,144,0,0
10/4/2016,62.1,5.99,217,0,0
9/28/12,55.9,5.99,108,0,0
5/11/2013,59.55,5.99,238,0,0
9/17/14,70,5.99,146,0,0
9/17/10,66.9,5.79,267,0,0
2/1/2016,47.45,5.99,233,0,0
9/29/12,61,5.99,157,0,0
10/5/2016,62.55,5.99,224,0,0
5/12/2013,63.05,5.99,177,0,0
9/18/10,64.9,5.79,287,0,0
1/13/12,48.45,5.99,132,0,0
9/30/12,69.55,5.99,173,0,0
9/18/14,69.8,5.99,139,0,0
5/13/13,61,5.99,186,0,0
9/19/10,63,5.79,287,0,0
1/14/12,47.9,5.99,153,0,0
10/6/2016,64,5.99,201,0,0
2/2/2016,45.95,5.99,167,0,0
10/1/2012,77,5.99,141,0,0
9/20/10,62.6,5.79,229,0,0
5/14/13,59,5.99,182,0,0
9/19/14,65.45,5.99,132,0,0
1/15/12,44.1,5.99,188,0,0
10/2/2012,78.1,5.99,136,0,0
9/21/10,61,5.79,115,0,0
10/7/2016,68.55,5.99,223,0,0
